"Sep=;"
Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta";"Modelo Anclado";"Id Anclado"
1;1;3;003;00;00;Auxiliar;"Intereses Clientes C/P";;
1;1;3;004;00;00;Auxiliar;"Pago tardio";;
1;1;4;000;00;00;"Cuenta Mayor";Inventario;;
1;1;4;001;00;00;Auxiliar;"Almacen ";;
1;1;5;000;00;00;"Cuenta Mayor";"Pagos por anticiado";;
1;1;5;001;00;00;Auxiliar;"Primas de Seguro ";;
1;1;5;002;00;00;Auxiliar;"Rentas Pagadas por anticipado";;
1;1;5;003;00;00;Auxiliar;"Impuesto Sobre Ventas Pagado";;
1;1;5;004;00;00;Auxiliar;"Intereses Pagados Por adelantado";;
1;1;5;005;00;00;Auxiliar;"Papeleria y Utiles";;
1;1;5;006;00;00;Auxiliar;"Material de Aseo aun no consumido";;
1;1;5;007;00;00;Auxiliar;"Anticipo a proveedores";;
1;1;5;008;00;00;Auxiliar;"Publicidad aun no consumida";;
1;2;0;000;00;00;Grupo;"Activo No Corriente";;
1;2;1;000;00;00;"Cuenta Mayor";"Propiedad Planta y Equipo";;
1;2;1;001;00;00;Auxiliar;"Mobiliario y Equipo";;
1;2;1;002;00;00;Auxiliar;Herramientas;;
1;2;1;003;00;00;Auxiliar;"Equipo de Reparto";;
1;2;1;004;00;00;Auxiliar;"Edificios ";;
1;2;1;005;00;00;Auxiliar;Terrenos;;
1;2;1;006;00;00;Auxiliar;Vehiculos;;
1;2;3;000;00;00;"Cuenta Mayor";"Activo Intangible";;
1;2;3;001;00;00;Auxiliar;"Aplicaciones informaticas";;
1;2;3;002;00;00;Auxiliar;Marcas;;
1;2;4;000;00;00;"Cuenta Mayor";"Otros Activos";;
1;2;4;001;00;00;Auxiliar;"Depositos en garantias";;
2;0;0;000;00;00;Clase;PASIVO;;
2;1;0;000;00;00;Grupo;"Pasivo Corriente";;
2;1;1;000;00;00;"Cuenta Mayor";"Cuentas por pagar C/P";;
2;1;1;001;00;00;Auxiliar;"Soporte Otros";;
2;1;1;002;00;00;Auxiliar;"Proveedores (acreedores comerciales)";;
2;1;1;003;00;00;Auxiliar;"Documentos por pagar C/P";;
2;1;1;004;00;00;Auxiliar;"Prestamos Bancarios C/P";;
2;1;1;005;00;00;Auxiliar;"Sueldos a empleados";;
2;1;1;006;00;00;Auxiliar;"Impuesto Sobre Ventas a pagar";;
2;1;1;007;00;00;Auxiliar;"Impuesto Sobre la Renta a Pagar";;
2;1;1;008;00;00;Auxiliar;"Impuesto municipal por pagar";;
2;1;1;009;00;00;Auxiliar;"Pagos a Cuenta ISR";;
2;1;2;000;00;00;"Cuenta Mayor";"Obligaciones por provisiones";;
2;1;2;001;00;00;Auxiliar;"Prov. Por beneficio a empleado";;
2;1;2;002;00;00;Auxiliar;"Prov 14 avo";;
2;1;2;003;00;00;Auxiliar;"Prov. 13 avo";;
2;2;0;000;00;00;Grupo;"Pasivo No corriente";;
2;2;1;000;00;00;"Cuenta Mayor";"Cuentas por pagar L/P";;
2;2;1;001;00;00;Auxiliar;"Acreedores Varios";;
2;2;1;002;00;00;Auxiliar;"Documentos por pagar L/P";;
2;2;2;000;00;00;"Cuenta Mayor";"Prestamos Bancarios L/P";;
2;2;2;001;00;00;Auxiliar;"Prestamo Bancario";;
2;2;2;002;00;00;Auxiliar;"Hipotecas por pagar";;
3;0;0;000;00;00;Clase;PATRIMONIO;;
3;1;0;000;00;00;Grupo;Aportacion;;
3;1;1;000;00;00;"Cuenta Mayor";Capital;;
3;1;1;001;00;00;Auxiliar;"Aportacion del dueno";;
3;2;0;000;00;00;Grupo;"Resultados Acumulados ";;
3;2;1;000;00;00;"Cuenta Mayor";"Utilidad o perdida Ejercicio Anterior";;
3;2;1;001;00;00;Auxiliar;"Utilidad o perdida Ejercicio Anterior";;
3;2;1;000;00;00;"Cuenta Mayor";"Utilidad o perdida del periodo";;
3;2;1;001;00;00;Auxiliar;"Utilidad o perdida del periodo";;
4;0;0;000;00;00;Clase;"Cuentas de Orden";;
5;0;0;000;00;00;Clase;"CUENTAS DE RESULTADO ACREEDORAS";;
5;1;0;000;00;00;Grupo;INGRESOS;;
5;1;1;000;00;00;"Cuenta Mayor";"TOTAL INGRESOS";;
5;1;1;001;00;00;Auxiliar;"Ingreso por venta KM motos";organization_company;"KM MOTOS"
5;1;1;001;01;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGUA";accounts;"KM MOTOS COMAYAGUA"
5;1;1;001;02;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGÜELA";accounts;"KM MOTOS COMAYAGÜELA"
5;1;1;001;03;00;"Sub cuentas del Aux";"KM MOTOS JUTICALPA";accounts;"KM MOTOS JUTICALPA"
